step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
prefill,chatcmpl-9492be82577fe6f8-8f650fd6,3165878.417897,0.000628,1,1351,1351,0,1,0
encoder,chatcmpl-9492be82577fe6f8-8f650fd6,3165878.420500,2.467314,1,0,,, 1,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165903.823524,0.000059,1,1,1352,1351,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.877178,0.000050,1,1,1354,1352,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.891780,0.000044,1,1,1356,1353,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.905674,0.000044,1,1,1358,1354,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.919480,0.000043,1,1,1360,1355,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.933290,0.000043,1,1,1362,1356,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.947065,0.000042,1,1,1364,1357,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.960851,0.000042,1,1,1366,1358,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.974617,0.000043,1,1,1368,1359,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165905.988396,0.000043,1,1,1370,1360,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.002152,0.000044,1,1,1372,1361,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.015931,0.000042,1,1,1374,1362,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.029822,0.000042,1,1,1376,1363,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.043766,0.000041,1,1,1378,1364,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.057613,0.000040,1,1,1380,1365,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.071443,0.000040,1,1,1382,1366,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.085276,0.000041,1,1,1384,1367,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.099095,0.000041,1,1,1386,1368,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.112920,0.000041,1,1,1388,1369,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.126744,0.000043,1,1,1390,1370,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.140581,0.000043,1,1,1392,1371,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.154414,0.000042,1,1,1394,1372,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.168247,0.000042,1,1,1396,1373,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.182056,0.000042,1,1,1398,1374,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.195884,0.000043,1,1,1400,1375,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.209716,0.000041,1,1,1402,1376,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.223549,0.000041,1,1,1404,1377,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.237389,0.000041,1,1,1406,1378,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.251211,0.000040,1,1,1408,1379,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.265045,0.000042,1,1,1410,1380,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.278855,0.000041,1,1,1412,1381,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.292701,0.000042,1,1,1414,1382,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.306529,0.000042,1,1,1416,1383,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.320370,0.000041,1,1,1418,1384,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.334199,0.000041,1,1,1420,1385,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.348033,0.000042,1,1,1422,1386,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.361850,0.000041,1,1,1424,1387,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.375674,0.000042,1,1,1426,1388,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.389512,0.000042,1,1,1428,1389,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.403327,0.000041,1,1,1430,1390,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.417147,0.000040,1,1,1432,1391,0,0
