step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
prefill,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168224.925289,0.000783,1,1369,1369,0,1,0
encoder,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168224.928039,0.375691,1,0,,, 1,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.457994,0.000076,1,1,1370,1369,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.472454,0.000049,1,1,1372,1370,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.486333,0.000044,1,1,1374,1371,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.500199,0.000045,1,1,1376,1372,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.514031,0.000044,1,1,1378,1373,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.527866,0.000043,1,1,1380,1374,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.541787,0.000042,1,1,1382,1375,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.555656,0.000043,1,1,1384,1376,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.569456,0.000044,1,1,1386,1377,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.583285,0.000044,1,1,1388,1378,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.597118,0.000045,1,1,1390,1379,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.610935,0.000044,1,1,1392,1380,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.624759,0.000045,1,1,1394,1381,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.638584,0.000044,1,1,1396,1382,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.652428,0.000044,1,1,1398,1383,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.666233,0.000043,1,1,1400,1384,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.680050,0.000044,1,1,1402,1385,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.693951,0.000044,1,1,1404,1386,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.707760,0.000045,1,1,1406,1387,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.721562,0.000043,1,1,1408,1388,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.735389,0.000042,1,1,1410,1389,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.749227,0.000045,1,1,1412,1390,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.763039,0.000044,1,1,1414,1391,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.776862,0.000045,1,1,1416,1392,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.790666,0.000041,1,1,1418,1393,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.804486,0.000043,1,1,1420,1394,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.818277,0.000042,1,1,1422,1395,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.832077,0.000042,1,1,1424,1396,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.845975,0.000043,1,1,1426,1397,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.859805,0.000043,1,1,1428,1398,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.873621,0.000045,1,1,1430,1399,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.887418,0.000044,1,1,1432,1400,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.901255,0.000043,1,1,1434,1401,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.915069,0.000042,1,1,1436,1402,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.928875,0.000042,1,1,1438,1403,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.942690,0.000042,1,1,1440,1404,0,0
decode,chatcmpl-86c0abb0144dbdaa-bbfb9c1c,3168225.956516,0.000043,1,1,1442,1405,0,0
