step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_prefill,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174610.513974,1.544949,1,1369,1369,0,1,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.059571,0.014717,1,1,1370,1369,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.074589,0.014384,1,1,1371,1370,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.089189,0.014238,1,1,1372,1371,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.103648,0.014280,1,1,1373,1372,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.118146,0.014182,1,1,1374,1373,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.132547,0.014173,1,1,1375,1374,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.146937,0.014190,1,1,1376,1375,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.161343,0.014154,1,1,1377,1376,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.175713,0.014183,1,1,1378,1377,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.190115,0.014142,1,1,1379,1378,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.204476,0.014166,1,1,1380,1379,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.218862,0.014158,1,1,1381,1380,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.233239,0.014136,1,1,1382,1381,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.247593,0.014148,1,1,1383,1382,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.261963,0.014172,1,1,1384,1383,0,0
